run,time
625,4698749
626,4861457
627,4724720
628,4682984
629,4719032
630,4807920
631,4701203
632,4452291
633,4662261
634,4605813
635,4612979
636,5446629
637,5978697
638,5668419
639,4782474
640,4858813
641,4722200
642,5087230
643,5205640
644,5047240
645,4962444
646,4878621
647,5008320
648,4878241
649,4985765
650,5235083
651,5326910
652,5082939
653,5075124
654,5110449
655,5038564
656,4947689
657,4871639
658,5385123
659,6048065
660,4809513
661,4816321
662,4751509
663,4987598
664,4917334
665,4618730
666,4462582
667,4611301
668,4801638
669,4602882
670,4598462
671,4470181
672,4556574
673,4802930
674,7626567
675,8055843
676,7998325
677,8784344
678,5792795
679,4788703
680,5005265
681,4740578
682,4900162
683,5004516
684,5101880
685,5074460
686,5277425
687,5957693
688,4935686
689,5239449
690,4865683
691,5132904
692,5123387
693,5288545
694,4942733
695,5044119
696,5290406
697,4968775
698,4958899
699,4740670
700,4843335
701,4804276
702,4942555
703,5702692
704,4725765
705,4696818
706,4892797
707,4562704
708,5595851
709,4816440
710,4852706
711,5029105
712,4936903
713,4992039
714,5726322
715,5100958
716,5089004
717,4983535
718,4820329
719,4818644
720,5050787
721,4951568
722,4903540
723,4798677
724,5011103
725,4875884
726,4994870
727,5055883
728,4972714
729,4771586
730,4656130
731,4732320
732,4736963
733,5125347
734,4837005
735,4816904
736,4764435
737,4599225
738,4394477
739,4620732
740,4959313
741,4491649
742,4587641
743,4580614
744,4706484
745,4739428
746,4468869
747,4450384
748,4590881
749,4790567
750,5044370
751,4784454
752,4871473
753,4721224
754,4910336
755,4926179
756,5059988
757,4923010
758,5033235
759,4927763
760,5120093
761,5179082
762,6727013
763,5355058
764,5890841
765,5261201
766,5114239
767,5251241
768,5066928
769,5075086
770,5075804
771,4793763
772,5177131
773,6088405
774,4977653
775,4784470
776,4894807
777,5022557
778,4908810
779,4788076
780,4522321
781,4587831
782,4767944
783,4643195
784,4738302
785,4938450
786,4767916
787,5221586
788,4759879
789,4857619
790,4977026
791,5157016
792,4898230
793,5134830
794,5039856
795,5198252
796,5138462
797,5065678
798,5026309
799,5107897
800,5035525
801,5048231
802,5140065
803,4976877
804,4968650
805,4803296
806,4849464
807,5046753
808,4705238
809,4855193
810,4824895
811,4710119
812,4637805
813,4677154
814,4886851
815,4747217
816,4664264
817,4722879
818,4684823
819,5529620
820,4828424
821,4648880
822,4526928
823,5508730
824,4790616
825,4773614
826,5145250
827,5014660
828,5151635
829,5092811
830,4787777
831,4998745
832,4977953
833,5170381
834,5049369
835,5061588
836,5018585
837,5201906
838,4887276
839,5037445
840,5066376
841,4963083
842,5035306
843,5122405
844,4949070
845,4997928
846,4646119
